case_id,u_par,C_rate,SOC
127,0.109,0.955,0.978
128,25.912,4.148,0.719
129,4.913,4.049,0.91
130,9.427,2.07,0.263
131,2.861,1.747,0.688
132,23.174,1.418,0.753
133,26.867,2.464,0.319
134,27.577,0.647,0.904
135,1.414,0.318,0.131
136,5.21,0.185,0.877
137,17.007,4.394,0.252
138,22.955,1.382,0.308
139,15.383,0.212,0.434
140,16.506,2.493,0.871
141,13.258,3.286,0.252
142,6.081,4.348,0.583
143,7.868,2.769,0.892
144,2.311,2.812,0.955
145,10.858,2.266,0.328
146,10.963,3.368,0.738
147,21.625,1.581,0.756
148,29.585,4.738,0.649
149,25.281,0.299,0.995
150,12.85,2.048,0.202
151,28.501,1.524,0.826
152,8.203,1.382,0.45
153,2.363,3.901,0.519
154,22.179,3.044,0.332
155,27.497,1.519,0.76
156,28.371,2.396,0.963
157,8.145,4.197,0.288
158,19.587,1.941,0.422
159,6.517,1.747,0.691
160,20.281,2.722,0.229
161,15.83,1.073,0.339
162,3.776,2.826,0.273
163,22.977,4.858,0.878
164,21.821,0.536,0.538
165,15.522,4.933,0.425
166,4.962,4.801,0.968
167,6.122,2.551,0.967
168,25.528,0.652,0.109
169,23.471,0.496,0.358
170,4.343,0.71,0.851
171,7.858,1.244,0.257
172,19.596,3.515,0.428
173,26.904,3.747,0.469
174,1.03,4.542,0.791
175,20.211,3.107,0.739
176,18.606,0.469,0.297
177,13.325,2.188,0.133
178,15.432,4.568,0.661
179,24.394,2.649,0.301
180,19.381,3.734,0.118
181,17.423,3.754,0.226
182,2.579,2.507,0.82
183,10.265,2.703,0.178
184,9.946,2.858,0.123
185,27.227,2.63,0.31
186,22.065,2.152,0.555
187,15.252,3.628,0.815
188,4.995,1.647,0.435
189,3.644,0.863,0.63
190,29.259,0.468,0.255
191,0.398,2.589,0.194
192,11.735,3.857,0.477
193,4.182,2.827,0.277
194,1.677,0.517,0.491
195,9.243,4.584,0.284
196,8.914,0.524,0.066
197,14.131,2.761,0.532
198,28.574,1.981,0.182
199,1.156,4.646,0.139
200,20.038,2.295,0.508
201,19.105,1.575,0.43
202,3.209,1.7,0.461
203,1.11,0.401,0.664
204,20.582,0.52,0.568
205,14.416,2.082,0.55
206,23.779,1.428,0.949
207,10.303,4.594,0.68
208,14.514,1.665,0.184
209,26.236,0.259,0.026
210,15.849,4.926,0.937
211,28.624,1.978,0.49
212,29.389,0.107,0.824
213,24.66,0.223,0.525
214,11.376,0.409,0.069
215,1.709,0.192,0.134
216,1.535,1.734,0.425
217,16.666,3.639,0.795
218,7.518,1.979,0.88
219,20.814,4.682,0.448
220,27.748,0.391,0.898
221,8.476,2.979,0.822
222,16.828,1.751,0.78
223,9.287,3.888,0.927
224,26.515,0.087,0.109
225,27.948,3.792,0.138
226,12.739,1.434,0.758
227,28.672,0.059,0.231
228,12.37,3.123,0.757
229,17.36,1.067,0.221
230,9.173,1.946,0.272
231,26.99,0.714,0.46
232,4.394,2.557,0.821
233,18.535,4.434,0.381
234,0.535,3.46,0.294
235,9.207,2.478,0.573
236,22.87,4.247,0.226
237,11.987,3.807,0.626
238,29.631,4.228,0.203
239,20.533,2.564,0.701
240,8.2,1.293,0.124
241,10.486,4.293,0.588
242,26.469,0.508,0.092
243,20.565,1.791,0.163
244,11.772,2.029,0.28
245,14.915,1.732,0.964
246,22.006,2.79,0.487
247,1.653,1.294,0.544
248,22.939,4.209,0.502
249,0.614,0.816,0.753
250,2.806,2.666,0.389
251,3.77,0.412,0.314
252,29.878,3.364,0.314
253,2.22,2.476,0.89
254,24.349,2.927,0.7
255,11.058,2.008,0.4
256,28.201,1.423,0.211
257,2.871,3.391,0.606
258,18.759,4.606,0.752
259,14.588,0.587,0.381
260,26.072,0.45,0.291
261,15.476,0.986,0.952
262,24.961,1.22,0.333
263,2.937,2.967,0.206
264,6.152,4.753,0.929
265,9.0,2.631,0.935
266,6.999,1.105,0.579
267,13.51,3.927,0.374
268,18.032,0.814,0.65
269,6.951,0.331,0.145
270,2.019,0.275,0.497
271,13.123,1.21,0.408
272,12.89,0.058,0.538
273,25.815,3.472,0.043
274,1.199,2.101,0.806
275,27.517,2.085,0.964
276,0.404,4.37,0.034
277,4.425,0.029,0.229
278,16.774,1.968,0.834
279,21.24,1.087,0.061
280,27.513,3.244,0.374
281,28.237,2.067,0.306
282,25.172,1.68,0.633
283,6.744,1.096,0.305
284,19.503,4.494,0.033
285,12.462,4.489,0.101
286,26.138,3.305,0.564
287,22.953,4.273,0.122
288,2.377,4.211,0.975
289,29.888,1.675,0.591
290,21.648,3.882,0.56
291,19.024,2.337,0.85
292,21.065,1.348,0.347
293,28.936,0.183,0.245
294,2.076,3.128,0.484
295,12.407,2.65,0.015
296,18.522,1.698,0.395
297,20.381,4.665,0.59
298,25.277,4.425,0.282
299,17.258,4.277,0.638
300,8.131,1.156,0.945
301,27.408,4.438,0.698
302,27.367,0.408,0.517
303,15.077,4.177,0.48
304,6.391,4.295,0.739
305,2.257,3.441,0.833
306,28.885,4.334,0.634
307,22.959,4.112,0.606
308,22.844,2.932,0.072
309,13.742,4.375,0.662
310,12.227,4.468,0.818
311,24.387,3.399,0.252
312,22.123,2.054,0.645
313,29.581,1.084,0.099
314,26.527,4.931,0.492
315,18.771,4.689,0.166
316,2.638,0.884,0.134
317,10.777,4.126,0.984
318,5.754,3.602,0.649
319,16.263,3.788,0.826
320,17.916,4.915,0.632
321,16.322,1.026,0.257
322,28.45,4.655,0.621
323,3.278,2.003,0.42
324,6.654,2.735,0.006
325,1.096,1.827,0.14
326,25.392,1.363,0.744
327,6.372,2.948,0.683
328,0.131,4.196,0.71
329,7.168,2.883,0.273
330,16.573,2.975,0.25
331,4.726,2.167,0.22
332,24.937,1.991,0.475
333,25.861,1.595,0.668
334,0.438,0.91,0.778
335,14.115,2.898,0.856
336,9.894,2.324,0.143
337,15.977,2.74,0.931
338,20.489,1.718,0.517
339,17.472,4.433,0.786
340,28.178,1.05,0.39
341,4.353,0.751,0.119
342,10.099,1.387,0.173
343,11.87,2.08,0.82
344,1.789,2.744,0.47
345,26.395,1.461,0.14
346,8.07,3.077,0.929
347,12.528,2.714,0.417
348,14.687,4.016,0.51
349,5.886,4.079,0.378
350,3.507,4.01,0.177
351,9.14,4.706,0.248
352,9.664,0.551,0.329
353,23.54,2.206,0.014
354,19.332,3.958,0.046
355,8.993,2.457,0.379
356,10.712,1.296,0.826
357,1.438,4.456,0.256
358,0.891,0.397,0.438
359,29.837,0.046,0.863
360,27.815,3.285,0.194
361,29.91,3.047,0.853
362,1.745,2.649,0.288
363,0.644,0.53,0.975
364,27.986,1.057,0.513
365,29.564,4.979,0.787
366,6.622,0.846,0.566
367,7.335,2.326,0.021
368,25.122,2.063,0.31
369,28.376,1.1,0.72
370,7.489,4.587,0.61
371,25.199,0.478,0.008
372,10.867,2.961,0.479
373,18.355,1.414,0.183
374,8.298,2.071,0.023
375,4.814,0.484,0.237
376,16.646,4.282,0.979
377,17.929,4.304,0.414
378,9.904,2.012,0.939
379,21.416,4.426,0.773
380,2.618,0.178,0.602
381,14.315,3.93,0.191
382,16.031,4.827,0.721
383,24.502,4.298,0.512
384,16.018,3.449,0.633
385,18.46,2.869,0.983
386,4.096,1.045,0.288
387,0.552,2.183,0.216
388,1.882,1.025,0.427
389,3.214,4.942,0.602
390,22.012,4.58,0.81
391,17.515,1.264,0.181
392,22.875,2.05,0.268
393,28.267,0.506,0.558
394,9.86,0.084,0.097
395,18.349,2.726,0.455
396,10.387,0.084,0.917
397,8.12,3.686,0.341
398,29.448,3.21,0.599
399,12.024,0.864,0.263
400,19.848,0.678,0.214
401,29.681,3.325,0.206
402,5.118,1.435,0.546
403,9.264,0.008,0.763
404,23.536,0.482,0.874
405,28.365,3.562,0.179
406,27.135,0.869,0.114
407,11.133,3.135,0.492
408,8.464,4.219,0.952
409,28.223,0.947,0.125
410,19.891,0.709,0.241
411,29.252,1.857,0.1
412,12.57,2.62,0.646
413,1.807,1.215,0.112
414,20.066,2.886,0.293
415,6.239,1.739,0.581
416,25.75,3.879,0.938
417,11.973,3.884,0.146
418,8.761,2.706,0.794
419,1.784,4.292,0.401
420,23.219,3.108,0.346
421,21.831,2.038,0.734
422,8.822,2.899,0.329
423,27.32,2.434,0.92
424,21.712,0.53,0.097
425,24.154,3.823,0.557
426,23.456,3.567,0.361
427,14.325,2.92,0.323
428,9.492,0.632,0.975
429,10.157,0.664,0.245
430,6.495,2.192,0.229
431,29.477,2.158,0.778
432,23.646,0.788,0.711
433,24.278,0.257,0.84
434,28.706,3.61,0.045
435,24.693,0.59,0.17
436,6.908,2.575,0.046
437,15.331,1.88,0.874
438,3.876,2.315,0.413
439,21.128,1.414,0.723
440,18.288,4.959,0.483
441,3.435,2.157,0.075
442,25.239,0.656,0.295
443,26.618,0.29,0.544
444,23.037,4.72,0.179
445,19.951,4.37,0.165
446,13.442,3.285,0.015
447,22.244,0.475,0.991
448,21.354,1.493,0.974
449,10.698,1.017,0.098
450,7.915,4.64,0.13
451,20.682,4.495,0.191
452,21.165,4.698,0.971
453,22.405,1.506,0.355
454,21.149,0.207,0.597
455,5.487,3.082,0.518
456,14.062,3.315,0.924
457,1.303,0.867,0.184
458,11.477,1.527,0.361
459,6.01,2.666,0.072
460,29.925,2.0,0.412
461,15.349,3.027,0.38
462,14.634,2.606,0.841
463,16.426,2.559,0.938
464,29.01,0.327,0.965
465,18.132,0.62,0.781
466,6.363,3.595,0.511
467,22.072,0.279,0.597
468,17.141,0.805,0.273
469,23.433,2.572,0.448
470,25.767,1.873,0.812
471,5.338,2.031,0.22
472,20.652,0.297,0.161
473,23.555,1.274,0.813
474,18.869,1.488,0.367
475,0.12,1.567,0.101
476,17.247,2.771,0.509
477,11.662,4.217,0.259
478,4.122,2.988,0.354
479,22.121,0.686,0.047
480,11.361,3.226,0.44
481,0.001,1.225,0.174
482,14.01,2.773,0.075
483,1.474,1.218,0.143
484,19.246,4.634,0.351
485,3.997,3.279,0.868
486,21.694,0.836,0.726
487,0.534,2.357,0.31
488,2.902,4.767,0.77
489,0.405,3.291,0.093
490,0.914,0.906,0.082
491,22.646,0.202,0.727
492,27.734,1.248,0.537
493,25.706,3.478,0.824
494,25.848,3.856,0.142
495,13.116,3.849,0.723
496,14.94,3.886,0.363
497,3.47,4.318,0.326
498,15.899,1.592,0.59
499,26.775,3.357,0.55
500,18.077,4.641,0.82
501,15.14,0.147,0.069
502,21.368,4.357,0.087
503,17.81,2.466,0.322
504,10.228,4.254,0.35
505,23.731,0.253,0.859
506,28.005,2.829,0.289
507,21.937,4.35,0.598
508,8.627,0.924,0.798
509,0.421,4.807,0.351
510,27.452,4.321,0.24
511,4.477,0.105,0.916
512,23.725,3.004,0.832
513,14.517,4.374,0.252
514,11.768,2.141,0.682
515,9.97,3.435,0.183
516,3.5,1.56,0.694
517,22.458,0.114,0.614
518,16.466,1.483,0.464
519,11.695,0.594,0.038
520,8.522,4.307,0.881
521,23.807,2.238,0.124
522,9.23,2.852,0.708
523,16.165,0.547,0.044
524,25.999,4.994,0.194
525,10.792,3.381,0.99
526,12.701,1.339,0.004
527,21.052,1.805,0.464
528,25.187,4.278,0.002
529,23.867,3.927,0.48
530,8.569,3.346,0.332
531,18.32,0.272,0.491
532,11.923,2.99,0.566
533,24.998,2.818,0.187
534,1.359,4.949,0.812
535,15.505,4.656,0.386
536,12.277,1.23,0.758
537,4.516,0.997,0.549
538,11.536,2.009,0.097
539,13.354,1.882,0.972
540,29.965,1.155,0.814
541,28.778,2.948,0.096
542,20.327,3.397,0.117
543,16.502,3.029,0.577
544,14.376,4.055,0.112
545,20.289,4.269,0.167
546,17.45,4.744,0.824
547,9.651,2.572,0.315
548,26.962,1.515,0.582
549,16.911,3.791,0.521
550,9.256,2.672,0.403
551,26.201,1.87,0.738
552,7.108,1.75,0.33
553,8.896,2.705,0.937
554,16.546,0.923,0.425
555,21.466,1.629,0.121
556,29.7,2.231,0.137
557,12.176,3.787,0.69
558,27.215,2.349,0.253
559,6.776,4.967,0.028
560,23.334,3.437,0.07
561,18.45,1.378,0.111
562,28.866,0.497,0.469
563,6.443,3.242,0.654
564,29.753,1.815,0.169
565,24.115,1.669,0.872
566,13.612,1.133,0.368
567,18.579,0.447,0.304
568,7.356,0.796,0.362
569,11.79,3.841,0.984
570,15.018,0.651,0.494
571,24.488,3.99,0.234
572,26.159,3.08,0.165
573,28.878,4.908,0.463
574,23.495,4.777,0.215
575,15.737,1.455,0.615
576,6.307,2.873,0.429
577,13.642,2.17,0.278
578,11.637,1.633,0.481
579,26.553,1.094,0.617
580,20.417,0.26,0.741
581,24.005,2.5,0.332
582,0.145,2.44,0.752
583,24.351,1.714,0.476
584,3.842,4.339,0.818
585,22.994,1.001,0.6
586,0.478,0.412,0.282
587,23.187,1.566,0.917
588,18.378,2.839,0.064
589,26.124,1.885,0.662
590,16.537,1.004,0.611
591,2.887,3.165,0.41
592,18.177,1.492,0.715
593,29.036,2.841,0.562
594,5.041,4.749,0.149
595,25.58,1.969,0.441
596,18.832,0.031,0.239
597,20.069,1.43,0.584
598,4.446,1.651,0.274
599,11.732,3.954,0.355
600,20.843,4.904,0.296
601,8.774,0.284,0.549
602,17.159,2.527,0.777
603,12.329,4.872,0.052
604,26.612,4.866,0.912
605,16.251,0.334,0.101
606,25.487,1.511,0.4
607,24.699,0.962,0.002
608,15.117,0.18,0.027
609,25.421,4.582,0.758
610,8.603,3.021,0.975
611,17.353,0.577,0.529
612,27.27,2.32,0.156
613,5.109,0.753,0.898
614,11.775,3.314,0.498
615,13.428,1.337,0.295
616,7.744,4.099,0.869
617,2.778,0.925,0.16
618,25.492,4.927,0.065
619,9.074,0.757,0.519
620,19.845,4.434,0.907
621,7.271,1.842,0.202
622,27.994,1.663,0.506
623,14.028,3.592,0.947
624,18.026,0.876,0.869
625,18.167,3.461,0.717
626,24.354,2.704,0.346
627,23.42,4.615,0.997
628,9.094,2.056,0.731
629,27.283,2.255,0.102
630,24.923,2.665,0.791
631,24.389,2.045,0.648
632,27.834,2.502,0.349
633,11.89,1.591,0.984
634,7.367,1.329,0.477
635,22.113,4.461,0.603
636,4.17,2.496,0.843
637,4.702,4.084,0.764
638,9.488,4.901,0.325
639,19.162,3.952,0.43
640,6.472,1.453,0.575
641,13.954,4.86,0.778
642,2.306,1.615,0.176
643,5.553,4.4,0.606
644,8.102,1.605,0.277
645,29.392,0.898,0.625
646,14.673,1.587,0.561
647,21.133,4.859,0.805
648,17.467,4.103,0.254
649,9.453,4.56,0.2
650,5.947,2.39,0.354
651,20.815,4.701,0.934
652,3.103,0.538,0.052
653,12.949,2.867,0.224
654,8.937,2.316,0.57
655,9.22,3.791,0.428
656,0.295,3.396,0.077
657,24.28,1.33,0.919
658,22.824,4.12,0.923
659,10.045,2.868,0.909
660,9.071,2.875,0.256
661,14.171,3.15,0.767
662,11.945,0.369,0.596
663,11.435,1.941,0.841
664,0.751,2.926,0.723
665,7.466,0.101,0.946
666,20.522,4.224,0.256
667,25.051,4.499,0.523
668,11.939,1.467,0.178
669,4.094,0.116,0.622
670,1.465,1.597,0.582
671,18.419,0.306,0.801
672,14.575,2.091,0.886
673,1.97,2.267,0.175
674,25.267,0.712,0.865
675,25.219,1.009,0.042
676,1.376,4.175,0.832
677,9.845,1.258,0.967
678,0.494,2.876,0.662
679,14.098,2.966,0.813
680,28.416,4.156,0.232
681,15.589,4.337,0.241
682,0.178,0.173,0.681
683,8.483,4.235,0.431
684,1.719,4.95,0.121
685,3.789,3.01,0.254
686,21.469,2.508,0.067
687,5.967,0.282,0.024
688,17.346,4.053,0.735
689,28.635,1.918,0.807
690,27.672,2.529,0.129
691,10.366,3.419,0.995
692,11.005,2.497,0.514
693,5.323,1.008,0.333
694,0.169,0.426,0.585
695,10.991,1.634,0.997
696,7.608,3.794,0.554
697,18.117,0.967,0.389
698,15.043,3.543,0.113
699,5.029,0.603,0.294
700,22.648,0.293,0.496
701,28.547,4.428,0.263
702,9.99,0.84,0.013
703,14.408,1.929,0.557
704,5.409,3.233,0.362
705,5.483,1.274,0.302
706,12.156,1.725,0.204
707,13.125,4.015,0.603
708,2.68,1.503,0.895
709,1.35,0.422,0.567
710,29.306,1.107,0.061
711,1.425,0.25,0.861
712,1.919,2.346,0.356
713,5.78,4.371,0.049
714,20.558,1.469,0.446
715,28.464,4.794,0.664
716,12.173,0.958,0.35
717,29.109,1.127,0.6
718,4.285,1.266,0.328
719,8.405,0.905,0.135
720,2.369,2.807,0.299
721,28.57,2.61,0.735
722,24.436,3.847,0.368
723,3.73,2.242,0.156
724,8.726,0.093,0.048
725,13.245,3.133,0.549
726,16.0,3.029,0.971
727,24.593,0.272,0.56
728,18.144,1.554,0.754
729,9.614,2.581,0.021
730,0.829,0.205,0.248
731,18.717,3.63,0.641
732,11.34,1.042,0.037
733,16.507,2.91,0.171
734,17.825,0.625,0.378
735,15.513,3.142,0.63
736,2.318,0.719,0.07
737,10.611,3.541,0.918
738,26.932,4.999,0.315
739,16.135,2.313,0.197
740,5.525,1.501,0.888
741,16.296,2.456,0.108
742,14.396,0.216,0.509
743,2.325,3.68,0.471
744,28.006,1.275,0.096
745,15.509,1.204,0.742
746,6.927,0.495,0.593
747,11.505,2.16,0.132
748,5.826,0.614,0.402
749,20.735,0.964,0.762
750,11.221,3.18,0.264
751,28.749,4.161,0.091
752,29.802,2.668,0.066
753,0.378,2.747,0.652
754,21.262,2.199,0.442
755,4.243,4.367,0.924
756,10.129,2.408,0.443
757,19.962,3.332,0.915
758,1.4,4.265,0.12
759,7.269,0.066,0.234
760,26.27,4.06,0.454
761,8.769,0.826,0.754
762,13.474,4.451,0.519
763,7.944,4.459,0.726
764,12.964,2.322,0.846
765,28.548,3.565,0.853
766,6.27,2.856,0.197
767,9.979,2.931,0.131
768,22.149,4.846,0.799
769,0.876,2.796,0.038
770,24.132,4.674,0.747
771,12.382,2.496,0.357
772,18.074,2.353,0.048
773,4.761,1.914,0.041
774,15.136,4.253,0.753
775,3.433,0.07,0.054
776,19.649,3.636,0.231
777,6.431,1.235,0.748
778,18.423,2.754,0.259
779,0.884,1.027,0.553
780,20.245,2.247,0.97
781,7.165,2.397,0.501
782,15.53,2.089,0.3
783,28.121,1.789,0.957
784,29.528,0.778,0.689
785,20.752,4.184,0.094
786,1.052,0.184,0.135
787,10.079,0.06,0.667
788,9.792,0.927,0.064
789,13.454,4.026,0.85
790,9.883,0.724,0.815
791,8.176,3.826,0.113
792,6.251,4.748,0.61
793,17.12,4.135,0.593
794,28.524,4.715,0.463
795,21.289,3.566,0.889
796,15.098,0.705,0.691
797,13.632,0.121,0.06
798,22.427,2.415,0.76
799,9.621,1.172,0.148
800,23.34,0.607,0.851
801,25.134,2.066,0.467
802,0.307,0.778,0.443
803,12.476,1.27,0.032
804,11.614,3.827,0.244
805,18.86,0.545,0.462
806,8.148,4.237,0.646
807,13.206,4.526,0.082
808,22.887,1.683,0.369
809,27.584,3.877,0.809
810,2.135,1.26,0.966
811,27.829,1.94,0.291
812,28.901,0.896,0.416
813,25.664,4.962,0.411
814,4.775,4.402,0.144
815,15.174,3.027,0.704
816,13.471,4.513,0.194
817,17.06,2.281,0.97
818,10.458,2.104,0.666
819,7.345,3.777,0.796
820,24.416,2.423,0.278
821,2.144,1.119,0.71
822,27.058,0.016,0.364
823,28.659,2.804,0.517
824,27.567,4.073,0.526
825,14.073,2.142,0.173
826,6.023,3.214,0.337
827,3.398,1.257,0.008
828,20.268,3.797,0.417
829,11.864,4.71,0.278
830,0.364,1.027,0.933
831,27.192,0.905,0.937
832,16.785,1.512,0.401
833,21.621,1.973,0.299
834,3.621,1.757,0.725
835,20.792,0.834,0.075
836,2.389,1.086,0.641
837,11.393,1.727,0.177
838,22.761,3.991,0.215
839,10.758,1.547,0.029
840,28.076,3.127,0.354
841,9.936,0.043,0.847
842,20.214,4.415,0.891
843,0.882,0.902,0.904
844,0.419,0.134,0.91
845,2.745,3.166,0.745
846,23.392,3.122,0.949
847,29.848,1.053,0.903
848,12.526,2.528,0.91
849,25.077,0.57,0.801
850,14.726,4.882,0.475
851,24.172,2.213,0.192
852,9.746,1.361,0.511
853,2.735,3.936,0.004
854,22.029,2.045,0.725
855,1.929,4.727,0.921
856,18.16,3.937,0.061
857,4.358,1.54,0.343
858,27.377,2.743,0.493
859,16.796,4.157,0.241
860,1.951,2.758,0.39
861,2.486,2.004,0.162
862,27.341,4.39,0.269
863,19.265,3.401,0.789
864,28.904,1.603,0.745
865,3.148,0.56,0.528
866,25.93,1.556,0.669
867,13.794,1.439,0.321
868,3.287,2.26,0.391
869,29.976,0.655,0.005
870,12.762,4.963,0.093
871,11.545,2.329,0.502
872,10.675,0.953,0.368
873,7.049,0.583,0.384
874,25.091,2.741,0.128
875,7.361,2.674,0.909
876,26.938,2.933,0.039
877,12.133,3.108,0.871
878,28.975,2.521,0.764
879,2.394,2.599,0.234
880,22.739,2.162,0.372
881,19.327,2.16,0.013
882,16.813,3.488,0.997
883,0.651,0.295,0.761
884,9.164,0.997,0.658
885,18.896,4.286,0.774
886,3.077,1.323,0.594
887,14.704,4.798,0.065
888,17.277,0.198,0.695
889,24.94,4.423,0.775
890,23.531,2.707,0.469
891,16.88,4.572,0.817
892,12.394,2.268,0.725
893,6.994,2.054,0.522
894,11.72,2.889,0.904
895,2.557,0.419,0.727
896,5.812,4.955,0.705
897,5.585,1.044,0.817
898,20.694,1.816,0.143
899,14.307,3.91,0.588
900,17.277,1.075,0.686
901,11.861,1.444,0.988
902,19.07,2.487,0.742
903,9.554,1.473,0.448
904,17.392,2.814,0.29
905,6.155,2.84,0.34
906,18.186,3.864,0.786
907,22.408,3.494,0.091
908,28.968,4.788,0.275
909,1.792,2.165,0.679
910,14.966,0.191,0.928
911,18.242,3.221,0.235
912,13.204,0.575,0.655
913,14.646,2.51,0.234
914,13.483,4.249,0.582
915,11.116,4.049,0.526
916,8.585,4.479,0.055
917,10.642,0.658,0.825
918,28.631,0.138,0.754
919,1.561,4.161,0.21
920,5.699,4.441,0.962
921,6.805,1.744,0.092
922,8.389,1.828,0.255
923,26.15,0.174,0.258
924,20.732,4.778,0.519
925,26.507,4.575,0.732
926,9.508,1.598,0.927
927,8.893,2.86,0.965
928,22.022,2.711,0.359
929,17.541,4.739,0.404
930,18.566,4.045,0.651
931,28.58,0.33,0.917
932,10.338,4.11,0.653
933,2.993,0.472,0.011
934,13.291,2.138,0.808
935,13.505,0.748,0.1
936,8.211,3.651,0.556
937,9.856,2.35,0.111
938,13.166,2.62,0.393
939,24.037,3.741,0.195
940,27.502,4.348,0.598
941,8.803,3.839,0.617
942,28.861,0.265,0.685
943,5.704,4.999,0.307
944,7.661,4.694,0.125
945,15.755,0.022,0.715
946,8.598,1.616,0.253
947,0.746,4.881,0.744
948,1.143,2.486,0.168
949,18.598,1.66,0.925
950,22.755,3.363,0.59
951,10.582,0.419,0.476
952,5.995,2.53,0.269
953,12.447,4.146,0.055
954,11.577,4.624,0.037
955,21.668,0.784,0.992
956,9.862,3.929,0.682
957,4.134,2.164,0.894
958,29.081,4.054,0.996
959,25.622,0.326,0.846
960,0.164,0.651,0.913
961,0.39,3.756,0.843
962,20.967,4.894,0.349
963,0.291,2.522,0.604
964,9.649,4.792,0.203
965,0.799,0.274,0.639
966,22.709,1.253,0.304
967,20.998,1.406,0.944
968,18.903,3.689,0.332
969,16.236,3.003,0.104
970,13.38,0.883,0.271
971,22.262,0.429,0.362
972,21.952,0.998,0.301
973,8.251,3.091,0.124
974,26.085,4.597,0.322
975,0.148,1.206,0.903
976,18.904,0.416,0.746
977,27.055,0.3,0.982
978,18.851,4.707,0.208
979,1.573,0.432,0.065
980,24.906,1.099,0.948
981,10.397,0.233,0.618
982,18.544,3.932,0.814
983,25.826,0.518,0.275
984,9.944,1.873,0.449
985,6.401,4.845,0.969
986,22.453,3.556,0.93
987,19.062,0.701,0.195
988,25.488,3.893,0.661
989,17.952,2.175,0.96
990,27.585,2.83,0.324
991,2.634,4.347,0.27
992,21.256,0.356,0.489
993,3.467,1.648,0.525
994,17.943,1.914,0.82
995,24.855,2.259,0.47
996,27.335,4.042,0.644
997,26.607,2.327,0.172
