case_id,u_par,C_rate,SOC
103,28.767,2.177,0.68
104,15.966,1.263,0.67
105,18.411,4.735,0.4
106,12.541,3.659,0.219
107,7.332,4.531,0.518
108,10.258,2.324,0.335
109,18.525,2.262,0.125
110,11.057,4.022,0.686
111,7.446,0.862,0.646
112,23.738,2.365,0.762
113,7.218,4.697,0.461
114,9.411,2.329,0.958
115,24.34,1.318,0.639
116,11.205,1.225,0.343
117,8.616,3.017,0.682
118,26.4,4.289,0.922
119,7.916,4.948,0.255
120,22.353,1.791,0.821
121,6.703,3.522,0.681
122,27.472,4.677,0.626
123,0.654,0.531,0.042
124,26.819,4.603,0.157
125,12.281,1.729,0.579
126,22.31,3.457,0.651
127,25.377,4.156,0.853
128,20.561,2.582,0.063
129,10.436,2.311,0.763
130,23.342,3.324,0.192
131,12.111,3.699,0.158
132,0.096,2.23,0.183
133,16.293,4.604,0.658
134,29.296,4.796,0.921
135,10.273,2.294,0.829
136,12.978,3.122,0.102
137,0.347,4.638,0.4
138,7.104,3.573,0.745
139,14.59,4.168,0.614
140,9.301,4.976,0.534
141,22.923,2.883,0.867
142,8.764,1.859,0.612
143,28.338,1.393,0.139
144,22.733,1.292,0.405
145,6.839,4.337,0.563
146,17.75,2.331,0.323
147,15.308,3.563,0.321
148,12.285,2.469,0.112
149,4.046,2.155,0.734
150,25.163,1.877,0.982
151,20.372,0.866,0.467
152,16.393,1.315,0.16
153,25.118,4.402,0.174
154,24.512,3.105,0.484
155,29.033,3.792,0.821
156,16.616,4.804,0.852
157,0.431,4.581,0.17
158,15.457,4.966,0.129
159,13.478,0.72,0.033
160,27.017,2.278,0.333
161,17.13,1.389,0.509
162,0.241,3.924,0.871
163,14.621,2.679,0.986
164,26.252,2.142,0.218
165,27.971,3.814,0.197
166,6.446,1.498,0.748
167,20.716,2.192,0.954
168,19.27,1.477,0.066
169,4.1,4.188,0.238
170,13.252,1.614,0.565
171,13.475,1.45,0.218
172,27.374,3.454,0.126
173,13.25,4.613,0.553
174,11.85,2.04,0.231
175,6.126,4.932,0.334
176,20.792,3.291,0.597
177,14.347,0.88,0.643
178,2.9,4.284,0.261
179,16.229,0.998,0.063
180,10.298,3.164,0.262
181,26.522,2.795,0.213
182,26.469,1.989,0.192
183,10.882,1.69,0.599
184,21.992,2.074,0.977
185,16.596,2.877,0.82
186,22.225,0.715,0.386
187,14.98,3.473,0.872
188,13.298,3.685,0.034
189,22.39,1.663,0.07
190,2.144,3.279,0.022
191,19.74,2.873,0.72
192,4.466,3.876,0.513
193,7.377,2.597,0.675
194,20.969,0.837,0.357
195,12.401,1.764,0.525
196,7.484,0.877,0.444
197,4.984,0.556,0.799
198,8.491,0.629,0.01
199,19.612,1.221,0.79
200,20.683,3.665,0.806
201,18.906,4.331,0.8
202,15.386,4.516,0.397
203,12.709,3.116,0.127
204,5.983,3.982,0.527
205,18.445,0.563,0.28
206,5.801,0.899,0.268
207,0.576,4.158,0.446
208,1.089,4.501,0.221
209,12.775,2.723,0.611
210,0.701,3.829,0.229
211,17.228,3.32,0.17
212,21.631,4.554,0.104
213,17.16,3.25,0.603
214,2.149,0.585,0.366
215,14.067,1.245,0.403
216,15.669,4.01,0.017
217,5.844,1.935,0.627
218,12.034,3.793,0.587
219,10.004,2.537,0.515
220,24.336,4.174,0.566
221,13.569,3.212,0.991
222,24.174,1.668,0.112
223,1.438,3.153,0.475
224,15.381,2.056,0.037
225,17.973,1.88,0.213
226,1.208,3.955,0.627
227,10.946,1.384,0.673
228,23.421,1.622,0.594
229,28.878,2.147,0.234
230,2.12,1.036,0.961
231,3.639,3.589,0.293
232,24.324,2.835,0.682
233,9.984,3.722,0.958
234,13.57,1.343,0.632
235,20.873,3.461,0.556
236,19.901,1.951,0.825
237,17.997,4.409,0.552
238,18.809,0.703,0.511
239,29.277,3.426,0.723
240,10.976,3.528,0.782
241,8.55,0.564,0.94
242,24.978,2.677,0.373
243,26.379,2.046,0.072
244,3.084,3.17,0.704
245,19.965,0.806,0.219
246,12.135,4.001,0.245
247,25.8,4.226,0.561
248,2.496,4.24,0.47
249,2.408,1.652,0.726
250,28.556,4.523,0.769
251,28.474,1.379,0.725
252,3.42,4.338,0.285
253,6.026,3.384,0.61
254,13.658,1.906,0.487
255,10.053,3.089,0.514
256,19.659,3.274,0.095
257,9.4,0.697,0.353
258,28.353,2.464,0.15
259,5.225,4.577,0.311
260,14.157,3.039,0.281
261,21.873,4.817,0.649
262,8.273,0.938,0.244
263,14.876,0.74,0.641
264,5.312,4.216,0.586
265,15.822,1.016,0.206
266,4.528,2.53,0.847
267,18.504,1.548,0.108
268,4.551,4.508,0.716
269,10.36,1.908,0.895
270,23.763,4.526,0.135
271,0.5,4.582,0.591
272,16.556,4.924,0.441
273,10.917,4.107,0.793
274,20.698,4.605,0.792
275,1.928,3.692,0.986
276,19.688,3.517,0.288
277,26.478,3.515,0.221
278,14.605,4.536,0.536
279,13.727,4.792,0.525
280,20.825,2.384,0.903
281,5.722,1.797,0.383
282,3.957,2.853,0.564
283,21.627,0.536,0.214
284,18.473,3.335,0.472
285,24.578,4.795,0.857
286,24.806,1.682,0.711
287,0.367,2.358,0.518
288,28.35,1.507,0.098
289,20.0,4.848,0.657
290,26.082,3.895,0.508
291,24.45,3.786,0.632
292,13.319,2.171,0.805
293,24.432,2.375,0.386
294,11.55,4.066,0.386
295,22.855,2.467,0.699
296,19.561,0.982,0.103
297,1.218,3.625,0.201
298,4.806,0.797,0.321
299,17.268,2.816,0.025
300,7.44,1.092,0.878
301,12.178,0.852,0.611
302,26.438,1.8,0.132
303,0.832,0.578,0.478
304,18.261,1.235,0.196
305,9.494,0.745,0.273
306,18.214,2.268,0.314
307,7.352,2.274,0.777
308,7.502,1.127,0.71
309,3.924,3.259,0.646
310,18.101,0.757,0.993
311,3.406,0.6,0.631
312,26.584,2.001,0.032
313,1.468,2.732,0.292
314,26.158,4.084,0.617
315,27.414,0.908,0.767
316,28.148,1.511,0.456
317,20.124,2.453,0.136
318,29.436,4.192,0.472
319,28.028,4.596,0.372
320,11.362,1.241,0.389
321,9.905,4.496,0.402
322,4.536,4.813,0.953
323,0.732,0.569,0.696
324,26.298,1.519,0.952
325,16.897,2.568,0.874
326,4.444,4.307,0.812
327,0.613,4.7,0.963
328,6.153,1.533,0.05
329,1.299,4.904,0.326
330,18.071,4.364,0.82
331,23.395,3.765,0.793
332,10.099,4.415,0.616
333,24.359,3.196,0.734
334,4.942,4.968,0.15
335,22.144,3.704,0.667
336,7.892,2.479,0.439
337,8.646,4.619,0.24
338,20.363,3.036,0.266
339,11.365,3.415,0.541
340,13.168,1.762,0.829
341,13.379,0.903,0.946
342,15.816,3.527,0.735
343,25.334,1.847,0.075
344,24.118,4.347,0.182
345,10.326,4.924,0.331
346,10.196,3.917,0.614
347,6.049,1.932,0.576
348,22.565,4.033,0.264
349,8.789,1.968,0.251
350,1.967,1.121,0.269
351,21.892,1.279,0.926
352,11.458,1.291,0.368
353,12.874,2.245,0.559
354,4.951,1.795,0.289
355,25.888,1.649,0.254
356,8.451,1.015,0.558
357,25.524,3.084,0.113
358,7.27,4.265,0.761
359,20.562,2.26,0.65
360,15.292,3.593,0.583
361,24.107,2.926,0.643
362,10.868,1.428,0.628
363,19.674,2.007,0.169
364,11.171,2.769,0.509
365,27.013,3.24,0.229
366,1.056,2.918,0.164
367,5.526,4.07,0.916
368,8.215,2.326,0.874
369,27.454,4.979,0.396
370,13.332,1.278,0.928
371,8.27,2.867,0.275
372,2.913,1.065,0.762
373,2.475,3.413,0.745
374,0.268,0.689,0.011
375,26.168,0.864,0.057
376,21.509,2.554,0.936
377,28.404,2.154,0.47
378,18.512,1.281,0.706
379,13.015,4.659,0.078
380,24.332,4.968,0.979
381,14.562,1.746,0.309
382,13.942,3.483,0.042
383,15.47,4.685,0.189
384,19.829,2.42,0.027
385,8.077,2.898,0.423
386,3.889,2.747,0.099
387,5.704,0.579,0.948
388,7.86,4.108,0.112
389,11.31,4.737,0.833
390,15.984,3.827,0.61
391,21.502,4.176,0.657
392,23.747,2.21,0.799
393,9.606,1.742,0.212
394,13.128,2.792,0.889
395,10.802,0.895,0.752
396,15.284,1.568,1.0
397,23.69,0.538,0.395
398,3.831,3.022,0.596
399,26.403,4.011,0.016
400,12.474,1.5,0.247
401,4.717,4.482,0.812
402,22.12,1.746,0.987
403,12.51,1.587,0.551
404,28.868,4.298,0.053
405,3.025,4.365,0.951
406,19.643,1.259,0.191
407,3.707,3.702,0.166
408,29.563,3.584,0.234
409,5.308,2.288,0.771
410,0.056,3.378,0.215
411,13.034,3.67,0.519
412,20.859,1.831,0.785
413,5.143,1.671,0.446
414,13.559,4.352,0.812
415,18.992,0.771,0.027
416,20.136,0.868,0.261
417,7.373,0.516,0.349
418,5.779,2.227,0.32
419,24.26,2.954,0.207
420,7.161,3.46,0.5
421,2.709,4.151,0.09
422,22.88,1.577,0.148
423,19.365,1.909,0.664
424,23.179,2.832,0.491
425,9.621,3.405,0.771
426,5.826,4.11,0.574
427,20.335,1.193,0.012
428,8.849,4.989,0.42
429,10.658,1.782,0.052
430,1.279,1.511,0.66
431,26.146,0.609,0.237
432,21.562,0.532,0.023
433,18.533,4.05,0.889
434,29.218,2.044,0.463
435,6.047,3.262,0.173
436,24.468,4.683,0.686
437,16.377,4.995,0.194
438,1.103,0.531,0.855
439,25.23,0.783,0.258
440,27.239,3.578,0.384
441,14.958,4.806,0.763
442,18.271,2.942,0.107
443,4.04,4.757,0.8
444,18.297,4.927,0.912
445,25.644,3.946,0.848
446,26.684,0.619,0.774
447,23.394,1.654,0.3
448,19.087,4.555,0.888
449,1.838,3.917,0.297
450,29.738,3.796,0.98
451,12.053,4.602,0.03
452,15.695,2.74,0.651
453,9.153,4.941,0.387
454,6.97,0.548,0.225
455,7.041,1.709,0.712
456,7.813,0.947,0.434
457,14.513,2.249,0.764
458,9.749,3.413,0.679
459,20.767,4.781,0.663
460,0.846,0.548,0.659
461,26.206,0.558,0.802
462,28.431,4.888,0.207
463,5.589,2.367,0.664
464,13.508,4.892,0.876
465,12.461,2.828,0.42
466,5.359,3.791,0.462
467,0.353,1.269,0.21
468,4.882,4.285,0.697
469,1.127,1.48,0.916
470,20.664,1.368,0.543
471,16.794,2.075,0.242
472,18.25,2.417,0.721
473,18.633,4.421,0.869
474,0.19,2.236,0.586
475,4.272,3.549,0.468
476,3.483,0.995,0.522
477,17.194,3.477,0.895
478,2.653,2.429,0.922
479,16.234,3.451,0.752
480,26.51,4.418,0.767
481,8.746,3.521,0.15
482,14.706,4.447,0.361
483,9.173,1.364,0.526
484,16.675,4.308,0.569
485,12.854,3.425,0.118
486,22.27,3.055,0.078
487,3.994,4.739,0.494
488,14.717,4.756,0.016
489,27.958,1.623,0.799
490,23.931,1.111,0.696
491,7.515,3.026,0.303
492,10.523,1.003,0.38
493,14.469,1.671,0.809
494,8.809,3.363,0.271
495,19.954,3.008,0.882
496,26.822,1.445,0.995
497,26.45,1.844,0.2
498,1.842,4.129,0.167
499,14.187,0.956,0.463
500,23.637,1.94,0.663
501,10.906,3.141,0.547
502,19.159,2.454,0.02
503,19.162,3.582,0.38
504,7.208,1.244,0.094
505,15.173,4.632,0.088
506,29.167,3.478,0.317
507,11.56,2.186,0.715
508,14.886,4.627,0.132
509,7.392,2.833,0.775
510,18.414,1.707,0.196
511,6.567,4.059,0.655
512,17.046,3.945,0.066
513,1.098,4.367,0.047
514,11.645,3.489,0.542
515,8.521,4.193,0.536
516,29.216,4.146,0.72
517,9.884,2.369,0.371
518,18.856,1.159,0.989
519,18.946,0.646,0.198
520,2.129,2.312,0.393
521,6.858,3.647,0.341
522,5.375,3.267,0.405
523,25.762,3.786,0.754
524,6.363,4.013,0.402
525,24.045,4.252,0.721
526,0.769,1.518,0.802
527,16.278,0.57,0.158
528,6.627,4.525,0.0
529,18.721,0.948,0.046
530,29.003,4.879,0.836
531,11.438,4.306,0.08
532,20.007,3.086,0.26
533,11.03,3.642,0.507
534,5.808,2.63,0.59
535,8.189,1.154,0.726
536,2.703,4.871,0.16
537,18.089,2.276,0.633
538,28.793,4.921,0.104
539,25.81,2.786,0.901
540,22.299,4.209,0.262
541,8.587,4.174,0.121
542,6.999,3.256,0.166
543,23.572,3.43,0.081
544,15.151,2.95,0.631
545,14.726,3.289,0.067
546,26.487,1.579,0.969
547,21.471,3.056,0.531
548,14.109,3.597,0.533
549,26.477,1.87,0.458
550,13.458,3.123,0.589
551,12.56,1.988,0.481
552,28.258,3.831,0.523
553,7.468,1.882,0.476
554,15.448,2.307,0.844
555,10.498,0.922,0.288
556,7.573,4.441,0.024
557,29.32,3.924,0.738
558,20.295,0.749,0.97
559,0.259,3.578,0.984
560,12.982,3.614,0.328
561,19.188,1.541,0.943
562,18.259,2.816,0.836
563,22.618,2.487,0.66
564,5.304,3.068,0.177
565,1.128,0.56,0.564
566,3.989,2.758,0.24
567,3.46,4.172,0.261
568,8.041,3.919,0.663
569,6.1,2.464,0.972
570,18.741,1.112,0.473
571,26.881,3.76,0.411
572,16.577,2.93,0.36
573,10.665,4.345,0.017
574,15.156,1.97,0.424
575,14.612,0.831,0.351
576,15.569,4.561,0.305
577,12.182,1.404,0.682
578,12.576,4.887,0.584
579,22.395,2.983,0.216
580,20.056,4.04,0.867
581,0.053,1.38,0.275
582,8.405,2.923,0.84
583,26.31,3.112,0.455
584,17.199,3.861,0.981
585,21.695,1.35,0.81
586,18.848,2.269,0.522
587,14.825,1.341,0.537
588,7.481,2.664,0.011
589,4.865,3.834,0.545
590,1.978,2.985,0.176
591,9.502,0.927,0.774
592,25.348,0.795,0.713
593,21.811,0.598,0.237
594,12.914,0.652,0.645
595,5.93,1.741,0.733
596,14.508,0.606,0.072
597,17.842,3.832,0.993
598,16.387,4.564,0.602
599,25.936,4.832,0.779
600,10.172,3.579,0.591
601,3.663,4.456,0.297
602,26.213,2.658,0.385
603,16.506,4.777,0.031
604,18.346,3.46,0.179
605,29.417,2.811,0.11
606,7.103,3.2,0.423
607,23.256,4.855,0.0
608,16.987,2.631,0.784
609,22.059,0.806,0.229
610,19.067,1.992,0.227
611,28.549,3.587,0.429
612,20.808,3.743,0.149
613,10.851,3.709,0.706
614,2.425,4.148,0.319
615,21.345,2.718,0.345
616,6.437,1.664,0.397
617,23.379,0.695,0.095
618,5.719,4.449,0.12
619,12.852,3.338,0.073
620,9.98,2.399,0.887
621,8.556,4.726,0.831
622,6.72,4.14,0.36
623,13.969,2.721,0.094
624,25.465,2.385,0.281
625,9.863,1.948,0.236
626,15.876,2.739,0.162
627,11.441,3.242,0.606
628,24.6,4.853,0.835
629,7.773,1.411,0.88
630,28.216,1.946,0.729
631,16.737,2.519,0.969
632,14.747,0.988,0.937
633,19.579,3.801,0.575
634,7.165,3.131,0.312
635,15.95,2.175,0.062
636,12.327,1.132,0.413
637,3.373,2.009,0.107
638,1.659,1.543,0.183
639,2.221,0.677,0.622
640,26.498,1.952,0.369
641,19.803,3.299,0.722
642,17.716,3.491,0.409
643,20.499,3.442,0.821
644,14.01,3.464,0.875
645,9.529,1.294,0.618
646,6.134,0.923,0.09
647,14.368,2.468,0.103
648,8.354,3.093,0.869
649,11.747,4.883,0.727
650,19.629,0.77,0.758
651,17.352,1.137,0.69
652,17.778,1.127,0.522
653,18.8,1.739,0.826
654,0.753,2.525,0.009
655,23.002,4.109,0.827
656,14.976,0.74,0.788
657,26.011,2.239,0.135
658,23.247,1.529,0.031
659,22.18,3.368,0.254
660,17.144,4.609,0.683
661,27.359,2.538,0.793
662,19.34,4.095,0.046
663,22.662,3.282,0.857
664,23.777,4.96,0.926
665,3.303,4.19,0.521
666,1.03,1.733,0.32
667,4.153,4.026,0.853
668,24.356,2.452,0.884
669,14.287,1.059,0.668
670,12.13,0.562,0.048
671,12.351,2.021,0.215
672,29.012,4.491,0.181
673,6.415,4.523,0.769
674,18.682,3.434,0.153
675,1.041,4.498,0.093
676,11.986,3.462,0.492
677,21.444,4.833,0.493
678,9.672,1.597,0.064
679,21.62,0.535,0.672
680,4.29,2.389,0.938
681,16.108,1.676,0.596
682,2.164,2.52,0.862
683,2.194,4.199,0.663
684,19.069,2.406,0.719
685,21.762,3.581,0.066
686,12.937,3.974,0.44
687,20.806,0.912,0.984
688,0.799,0.747,0.977
689,14.429,4.326,0.491
690,19.042,4.955,0.475
691,18.838,0.554,0.024
692,10.181,2.015,0.72
693,28.223,1.961,0.881
694,18.802,2.481,0.85
695,16.225,4.213,0.246
696,29.062,1.651,0.565
697,10.886,2.451,0.653
698,26.719,2.618,0.289
699,0.524,2.727,0.256
700,17.311,4.33,0.564
701,13.554,2.449,0.547
702,24.657,4.415,0.047
703,14.339,3.361,0.141
704,23.946,4.69,0.835
705,10.459,2.859,0.541
706,20.569,2.648,0.522
707,5.616,4.4,0.275
708,22.552,0.819,0.84
709,21.191,3.717,0.312
710,14.398,2.858,0.496
711,25.234,4.618,0.126
712,0.235,1.256,0.672
713,21.141,4.959,0.571
714,24.981,1.985,0.332
715,29.119,1.401,0.234
716,18.362,4.046,0.272
717,7.075,1.281,0.641
718,17.903,1.233,0.164
719,5.154,3.092,0.719
720,14.06,1.403,0.822
721,21.271,3.373,0.664
722,8.856,1.561,0.312
723,4.735,0.798,0.264
724,21.052,4.85,0.241
725,19.995,2.625,0.382
726,23.334,1.942,0.738
727,4.506,2.222,0.672
728,11.555,3.558,0.736
729,18.615,1.81,0.21
730,13.198,2.17,0.487
731,29.138,2.243,0.016
732,7.423,2.214,0.215
733,2.041,3.616,0.784
734,11.722,2.12,0.41
735,25.107,4.648,0.085
736,14.356,1.091,0.446
737,8.311,2.079,0.008
738,7.908,1.088,0.834
739,16.249,4.051,0.779
740,7.22,3.959,0.825
741,10.256,3.909,0.35
742,16.639,4.139,0.469
743,24.777,4.786,0.029
744,19.007,1.914,0.619
745,29.824,4.261,0.793
746,17.74,4.625,0.604
747,15.902,1.899,0.19
748,11.228,2.278,0.565
749,18.709,1.895,0.329
750,12.213,3.866,0.03
751,17.446,0.712,0.858
752,4.7,0.968,0.437
753,2.263,4.499,0.587
754,3.209,2.063,0.219
755,23.88,2.825,0.742
756,15.35,4.99,0.827
757,26.264,1.686,0.557
758,11.532,1.25,0.416
759,21.968,1.412,0.025
760,29.024,3.107,0.548
761,10.29,1.667,0.776
762,16.923,2.942,0.052
763,9.926,0.693,0.806
764,13.731,2.219,0.716
765,4.777,1.188,0.926
766,21.412,3.722,0.184
767,0.955,2.258,0.432
768,20.845,3.054,0.365
769,14.638,3.545,0.546
770,11.14,1.872,0.039
771,19.469,2.668,0.618
772,4.542,0.9,0.573
773,27.298,1.591,0.746
774,27.209,0.61,0.047
775,15.749,1.951,0.484
776,13.039,0.768,0.472
777,4.611,2.056,0.952
778,1.117,2.571,0.762
779,24.265,4.397,0.816
780,10.043,0.682,0.446
781,15.578,4.937,0.207
782,4.571,1.523,0.416
783,1.467,2.288,0.415
784,17.487,3.923,0.934
785,7.689,1.374,0.08
786,14.712,2.923,0.859
787,8.825,4.595,0.819
788,3.883,4.032,0.206
789,7.725,3.543,0.817
790,7.179,3.61,0.597
791,2.754,1.945,0.695
792,26.625,3.573,0.937
793,17.511,0.838,0.399
794,28.069,4.32,0.727
795,0.206,4.573,0.208
796,3.286,2.419,0.824
797,0.071,4.32,0.271
798,16.744,4.362,0.905
799,18.135,4.521,0.608
800,5.508,1.099,0.794
801,15.801,3.22,0.092
802,6.497,3.097,0.329
803,19.443,3.458,0.369
804,16.051,1.971,0.402
805,10.582,4.786,0.19
806,12.023,2.964,0.264
807,20.511,4.593,0.033
808,26.309,4.77,0.55
809,22.256,1.904,0.613
810,22.783,4.824,0.129
811,14.922,1.974,0.515
812,18.989,2.241,0.925
813,25.78,1.958,0.168
814,20.393,3.751,0.016
815,27.466,3.179,0.878
816,18.553,1.124,0.537
817,6.34,3.603,0.17
818,24.39,4.333,0.912
819,0.057,0.573,0.219
820,23.652,2.244,0.195
821,4.766,2.988,0.347
822,27.84,4.776,0.622
823,3.342,1.901,0.066
824,22.012,4.157,0.52
825,25.775,1.097,0.545
826,23.732,2.776,0.513
827,0.786,4.411,0.493
828,11.552,2.925,0.767
829,27.149,2.448,0.528
830,17.99,0.929,0.404
831,12.376,1.61,0.512
832,22.482,3.154,0.015
833,1.529,1.302,0.19
834,13.418,3.713,0.53
835,19.519,4.077,0.889
836,7.407,4.502,0.459
837,9.681,4.381,0.705
838,7.993,3.252,0.644
839,24.005,3.572,0.216
840,22.693,4.012,0.577
841,16.821,2.561,0.661
842,16.456,1.834,0.913
843,11.389,4.354,0.089
844,20.381,4.305,0.75
845,9.299,0.616,0.766
846,23.633,3.221,0.44
847,1.31,1.018,0.142
848,28.743,0.876,0.82
849,11.557,3.046,0.185
850,15.721,4.44,0.727
851,7.838,1.019,0.364
852,14.66,3.75,0.478
853,0.671,4.893,0.306
854,3.621,1.175,0.715
855,8.919,2.686,0.141
856,12.335,2.18,0.419
857,5.744,1.375,0.5
858,20.505,1.7,0.936
859,3.635,4.368,0.169
860,6.475,2.058,0.86
861,3.598,2.337,0.874
862,24.334,4.153,0.919
863,23.352,2.455,0.008
864,16.336,1.674,0.163
865,0.314,2.868,0.116
866,26.953,2.404,0.399
867,4.889,1.752,0.438
868,23.604,1.905,0.521
869,9.704,4.497,0.861
870,24.134,1.337,0.91
871,11.002,3.849,0.797
872,11.691,2.766,0.702
873,0.232,4.833,0.086
874,23.577,1.953,0.683
875,28.188,2.468,0.937
876,15.316,3.869,0.096
877,24.204,4.952,0.337
878,15.829,4.316,0.119
879,28.814,2.941,0.491
880,14.143,1.355,0.052
881,14.355,4.256,0.187
882,11.634,1.943,0.972
883,2.605,1.641,0.095
884,29.867,3.354,0.107
885,26.978,1.908,0.172
886,24.918,1.622,0.329
887,19.347,4.088,0.626
888,23.222,2.388,0.883
889,3.716,4.009,0.289
890,11.753,3.648,0.498
891,25.179,2.941,0.238
892,3.858,3.71,0.195
893,7.929,4.348,0.848
894,19.985,3.058,0.533
895,8.071,2.037,0.107
896,21.91,1.035,0.678
897,5.337,0.869,0.729
898,24.664,3.915,0.621
899,24.08,2.357,0.287
900,28.638,0.67,0.772
901,8.912,3.402,0.445
902,7.004,3.912,0.488
903,18.717,2.175,0.381
904,27.131,3.42,0.935
905,26.456,4.434,0.4
906,9.148,0.552,0.576
907,17.026,0.656,0.49
908,13.022,2.11,0.33
909,14.442,1.579,0.209
910,5.805,4.735,0.822
911,5.077,4.188,0.343
912,24.498,3.276,0.148
913,12.745,3.503,0.451
914,26.656,1.981,0.292
915,24.284,1.436,0.736
916,8.778,1.863,0.615
917,28.438,0.707,0.727
918,11.504,1.182,0.068
919,29.473,3.768,0.252
920,20.247,3.451,0.178
921,17.05,2.98,0.304
922,18.043,4.393,0.07
923,0.731,1.796,0.394
924,11.745,2.972,0.466
925,4.553,4.334,0.371
926,22.129,3.503,0.851
927,24.487,2.41,0.019
928,22.447,2.745,0.762
929,17.019,4.136,0.294
930,5.04,2.539,0.53
931,28.936,3.884,0.596
932,21.858,4.906,0.6
933,24.876,4.71,0.512
934,20.386,1.594,0.666
935,9.829,1.767,0.291
936,5.981,1.463,0.248
937,26.378,2.72,0.094
938,15.22,1.31,0.97
939,23.809,1.92,0.541
940,28.666,1.692,0.59
941,8.361,4.343,0.206
942,24.146,3.693,0.736
943,5.45,4.934,0.324
944,1.277,1.498,0.465
945,2.488,4.957,0.988
946,23.489,4.221,0.406
947,17.719,2.256,0.766
948,25.582,4.608,0.617
949,20.736,2.763,0.581
950,6.994,0.763,0.572
951,15.718,1.991,0.329
952,13.897,4.44,0.957
953,25.915,2.626,0.683
954,2.338,2.738,0.131
955,24.677,3.051,0.919
956,6.506,2.595,0.291
957,28.089,1.153,0.642
958,21.791,4.062,0.839
959,5.933,3.063,0.392
960,4.688,1.405,0.713
961,7.623,2.354,0.049
962,26.023,1.114,0.456
963,27.138,1.358,0.109
964,20.032,4.993,0.252
965,7.186,1.619,0.388
966,10.414,2.664,0.207
967,7.76,2.207,0.721
968,5.248,4.453,0.994
969,25.543,2.888,0.113
970,4.227,2.692,0.126
971,20.173,2.262,0.081
972,14.672,1.084,0.823
973,14.248,1.774,0.219
974,26.181,1.12,0.85
975,3.835,1.228,0.053
976,22.901,4.246,0.605
977,12.02,3.588,0.656
978,2.979,1.429,0.896
979,27.639,3.287,0.802
980,25.341,2.79,0.186
981,19.492,2.552,0.914
982,10.534,3.795,0.031
983,17.542,3.469,0.761
984,6.455,2.492,0.64
985,18.406,1.96,0.455
986,18.488,3.341,0.667
987,14.466,1.253,0.34
988,16.721,4.566,0.163
989,12.679,2.636,0.109
990,25.674,1.148,0.423
991,22.988,4.608,0.339
992,21.257,0.89,0.345
993,10.728,3.101,0.318
994,15.339,3.737,0.698
995,9.781,0.952,0.315
996,15.674,1.391,0.241
997,1.401,3.488,0.517
